Source,Target,Type,Id,Label,timeset,Weight
94935,125327,Directed,13942,,,1
94935,8114,Directed,13943,,,1
94935,94935,Directed,13944,,,1
94935,26931,Directed,13945,,,1
95141,95141,Directed,12199,,,6
95265,119,Directed,12201,,,1
95265,95266,Directed,12202,,,2
95265,95267,Directed,12203,,,1
95265,43,Directed,12204,,,1
96045,77676,Directed,12219,,,1
96045,10492,Directed,12635,,,3
96100,119,Directed,13467,,,1
96210,119,Directed,12222,,,2
96210,414,Directed,12223,,,1
96210,151,Directed,12224,,,1
96210,30112,Directed,12408,,,1
96210,96210,Directed,12409,,,1
96232,96232,Directed,12226,,,1
96232,96233,Directed,12227,,,8
96232,119,Directed,12228,,,2
96232,1659,Directed,12230,,,2
96232,175,Directed,12231,,,2
96232,151,Directed,12537,,,1
96232,431,Directed,12538,,,1
96232,1625,Directed,12539,,,1
96233,96232,Directed,12265,,,4
96233,96233,Directed,12266,,,7
96233,119,Directed,12267,,,2
96233,1659,Directed,12540,,,2
96233,175,Directed,12541,,,1
96233,431,Directed,12542,,,1
96233,1625,Directed,12543,,,1
96261,96261,Directed,12225,,,24
96599,5711,Directed,12240,,,1
96599,96597,Directed,12241,,,1
96599,96598,Directed,12242,,,1
96599,96599,Directed,12243,,,1
96681,119,Directed,12235,,,2
96681,43,Directed,12468,,,2
96681,96681,Directed,12469,,,4
96681,61833,Directed,13520,,,2
96736,11583,Directed,12472,,,9
96736,102343,Directed,13505,,,2
96736,75014,Directed,13646,,,1
96736,125164,Directed,13884,,,1
96736,58051,Directed,13885,,,1
96736,5467,Directed,14042,,,1
96871,96871,Directed,12284,,,2
96871,43,Directed,12285,,,1
96871,34603,Directed,12356,,,1
97218,97219,Directed,12264,,,1
97219,97218,Directed,12269,,,1
97304,48678,Directed,12270,,,1
97304,97304,Directed,12345,,,1
97613,97614,Directed,12278,,,2
97613,2449,Directed,12279,,,2
97620,8185,Directed,13637,,,1
97678,97678,Directed,12281,,,2
98173,98173,Directed,13130,,,3
98263,413,Directed,12300,,,6
98263,119,Directed,12301,,,3
98263,87246,Directed,12983,,,1
98263,6040,Directed,13078,,,1
98349,11095,Directed,12307,,,1
98349,98348,Directed,12308,,,1
98349,98349,Directed,12309,,,1
98602,115676,Directed,12757,,,2
98602,119,Directed,12773,,,1
99203,1495,Directed,12326,,,1
99203,119,Directed,12327,,,1
99282,99282,Directed,12602,,,1
99378,119,Directed,12338,,,2
99400,99400,Directed,12339,,,8
99400,1100,Directed,12340,,,2
99759,99759,Directed,12350,,,2
100160,100160,Directed,12394,,,1
100312,21874,Directed,12365,,,2
100312,100311,Directed,12366,,,2
100312,100312,Directed,12367,,,2
100540,100540,Directed,12371,,,3
100540,101914,Directed,12411,,,1
100540,25186,Directed,12683,,,1
100540,6737,Directed,12687,,,1
100651,100651,Directed,12374,,,8
100651,114536,Directed,12721,,,1
100651,1012,Directed,12801,,,1
100651,6081,Directed,12802,,,1
100651,2758,Directed,12824,,,1
100651,3158,Directed,13648,,,1
100651,150112,Directed,13675,,,1
100651,125327,Directed,13933,,,1
100651,8114,Directed,13934,,,1
100651,21209,Directed,13935,,,1
100651,21334,Directed,13936,,,1
100651,94935,Directed,13937,,,1
100651,26931,Directed,13938,,,1
100885,100885,Directed,12393,,,1
100885,10492,Directed,12514,,,1
100888,859,Directed,12385,,,3
100888,30,Directed,12386,,,2
100888,119,Directed,12387,,,4
100888,1490,Directed,12388,,,2
