,Topic,Word,P
187,9,hear,0.01274189818650484
188,9,primeday2018,0.012535087764263153
189,9,lol,0.011788152158260345
190,9,report,0.011063110083341599
191,9,funny,0.01100695226341486
192,9,information,0.010545297525823116
193,9,follow,0.010474083013832569
194,9,win,0.0103309890255332
195,9,effects,0.009805525653064251
196,9,stop,0.009238180704414845
197,9,life,0.008870547637343407
198,9,creepy,0.00870897900313139
199,9,send,0.008252051658928394
