edges,weight
"('realestate', 'designthinking')",211.0
"('alexa', 'remote')",210.0
"('amazon', 'innovation')",209.0
"('podcast', 'holiday')",209.0
"('alexa', 'estimation')",207.0
"('smarthome', 'heating')",207.0
"('rankbio', 'estimation')",207.0
"('alexa', 'save')",206.0
"('amazon', 'amazonprime')",206.0
"('amazon', 'fintech')",206.0
"('siri', 'seo')",206.0
"('siri', 'mac')",206.0
"('keynote', 'retreat')",206.0
"('rankbio', 'webpage')",206.0
"('alexa', 'moz')",205.0
"('alexa', 'daily')",204.0
"('website', 'rankbio')",204.0
"('amazon', 'dot')",203.0
"('amazon', 'music')",202.0
"('smarthome', 'reinvent')",201.0
"('alexa', 'historicalfantasy')",200.0
"('siri', 'siriismyfriend')",200.0
"('amazonecho', 'csharpcon18')",200.0
"('podcast', 'parties')",200.0
"('music', 'smart')",200.0
"('fantasy', 'historicalfantasy')",200.0
"('traffic', 'rankbio')",200.0
"('alexa', 'cdo')",199.0
"('alexa', 'priceless')",199.0
"('siri', 'speaking')",199.0
"('alexa', 'planning')",198.0
"('alexa', 'howto')",198.0
"('alexa', 'livevideo')",198.0
"('iot', 'planning')",198.0
"('digital', 'cio')",198.0
"('conference', 'keynote')",198.0
"('alexa', 'freetools')",197.0
"('freetools', 'searchengine')",197.0
"('freetools', 'seo')",197.0
"('freetools', 'networktools')",197.0
"('ai', 'priceless')",195.0
"('amazon', 'priceless')",195.0
"('voicefirst', 'priceless')",195.0
"('lol', 'priceless')",195.0
"('tbt', 'priceless')",195.0
"('throwbackthursday', 'priceless')",195.0
"('rankbio', 'domainauthority')",195.0
"('alexa', 'alexaskills')",194.0
"('alexa', 'firestick')",194.0
"('smarthome', 'security')",194.0
"('alexa', 'tucson')",193.0
"('alexa', 'people')",193.0
"('alexa', 'native')",193.0
"('alexa', 'arduino')",193.0
"('smarthome', 'native')",193.0
"('howto', 'prescientinfo')",193.0
"('iot', 'smarthouseaz')",192.0
"('tablet', 'hd')",192.0
"('realtor', 'interiordesigners')",192.0
"('iot', 'realtor')",191.0
"('iot', 'calendar')",191.0
"('iot', 'events')",191.0
"('smarthome', 'hot')",191.0
"('cortana', 'w10')",191.0
"('podcast', 'entrepreneur')",191.0
"('hot', 'heating')",191.0
"('hot', 'native')",191.0
"('itunes', 'googleplay')",191.0
"('planning', 'realtor')",191.0
"('planning', 'calendar')",191.0
"('planning', 'events')",191.0
"('planning', 'smartcity')",191.0
"('realtor', 'calendar')",191.0
"('realtor', 'events')",191.0
"('realtor', 'smartcity')",191.0
"('calendar', 'events')",191.0
"('calendar', 'smartcity')",191.0
"('events', 'smartcity')",191.0
"('alexa', 'automation')",190.0
"('alexa', 'genz')",190.0
