Id,Label,timeset,no_tweets,no_mentions
4007,sz,,0,19
4017,sonossupport,,0,39
4043,techlaurels,,14,16
4090,csforall,,1,16
4111,mdesmaz,,28,75
4139,toystoredeal,,15,17
4152,famitweet,,38,60
4172,radhikapnair5,,9,29
4217,digiwomende,,0,20
4340,mounierco,,1,97
4443,designconsultuk,,0,1622
4445,fionahopeaitken,,3,29
4505,arstechnica,,0,22
4526,techinsider26,,0,108
4562,beebomco,,0,249
4569,satyanadella,,0,73
4622,googlehomeworld,,0,63
4627,mcbeniwal,,3,270
4704,thetileapp,,0,39
4772,steveaustinex2,,56,36
4828,creoir,,1,23
4835,mycroft_ai,,20,58
4891,annanaveed,,12,49
4926,jeffblankenburg,,21,79
4935,vuiagency,,11,24
5006,jenmsft,,0,19
5027,techstars,,0,17
5083,cloudtenaus,,8,19
5087,forbestech,,0,25
5088,logicaldan,,12,19
5090,particle,,10,109
5128,microsofthelps,,0,21
5164,avwatch,,9,294
5225,harishchand314,,90,56
5273,bmetrock,,12,20
5297,ryanvanderwerf,,5,24
5302,mirwaldm,,0,15
5371,anker_jp,,3,71
5410,haruka_striker,,0,21
5428,alleywatch,,2,16
5467,koba206,,8,21
5483,bobstolzberg,,128,91
5495,amazonesp,,0,58
5518,yahoofinance,,0,19
5553,im_coaching,,0,25
5565,thevrara,,2,89
5568,npr,,0,69
5578,netflix,,0,161
5666,mjaspeakers,,321,413
5701,cwillycs,,33,98
5711,modelpress,,3,44
5715,jpkbst,,52,26
5717,ktmosborne,,2,45
5746,xbond49,,10,34
5751,mallys_,,40,66
5770,heriotwattuni,,1,28
5875,bijapan,,0,58
5955,classalexa,,10,71
5975,chao2suke,,1,17
6011,jeopardy,,0,23
6040,thenextweb,,0,67
6081,sarahintampa,,0,63
6097,jmbrandonbb,,2,17
6139,allianz,,2,32
6157,werner,,3,191
6189,tunstallhealth,,7,17
6226,nickburcher,,0,22
6266,divsi_info,,2,42
6268,androidcentral,,6,43
6288,laughtrek,,14,30
6324,shugaboyke1,,0,111
6339,smart_phones4y,,0,410
6360,uber,,0,31
6377,fnjacobs,,7,26
6380,sjgoldstein,,18,28
6430,themachinefraco,,64,19
6449,medium,,0,17
6455,neivallen,,0,22
6515,wholefoods,,0,19
6525,nexmo,,7,30
6538,gottagreatdeal,,0,115
6539,debashis_dutta,,36,20
6545,2morrowknight,,0,41
6556,amazonalexa,,0,94
6725,clubic,,0,30
6737,davidbos13,,17,26
6763,jovotech,,13,34
6822,viewsfromlake,,0,17
6830,aparanjape,,9,25
6831,telegraphnews,,0,19
6846,rt_com,,0,415
6969,brainespresso,,37,24
6992,expresstechie,,0,53
7004,lahdiouiouadie,,14,22
7024,allforbigfire,,103,76
7045,waltque,,45,40
7048,moritzwittmann,,0,21
7063,rajnijjer,,7,23
7069,ford,,0,50
7089,faznet,,2,104
7139,mycare2x,,11,27
7171,jcfrick,,4,17
7214,eguanzalo15,,0,18
7246,home_assistant,,8,17
7299,madurasygordas,,0,756
7329,santos22david,,57,20
7345,mikeschiemer,,8,916
7379,ginaereviews,,0,143
7482,msdev,,0,87
7545,stacieinatlanta,,12,83
7707,imconsultserv,,0,1197
7784,robmccauley,,33,49
7785,mathworks,,0,27
7788,_prashantrao_,,7,16
7828,kharijohnson,,1,59
7857,baz1ga,,2,40
7917,netatmo,,0,29
8100,aainslie,,50,22
8114,jblefevre60,,129,592
8115,jimmarous,,55,595
8116,spirosmargaris,,109,573
8117,ipfconline1,,44,721
8148,rickross,,0,27
8185,marriott,,0,143
8239,timbiriche_35,,0,34
8245,wwe,,0,50
8247,themotleyfool,,0,23
8425,maneeshjuneja,,4,54
8490,frille,,10,26
8528,azure,,0,56
8552,bts_twt,,0,38
8607,amazonfr,,0,214
8647,samsungmobile,,0,27
8675,kartoondudez,,46,36
8733,soyvayavaya,,0,23
8738,elblogdmaricela,,1,30
8743,oficialyuri,,0,16
8750,aguila_vocaloid,,0,40
8768,klousanz,,0,27
8769,s0yunatal_jessi,,1,16
8864,navarro_hector,,0,67
8902,george_edu,,0,19
9083,mobisphere,,53,49
9084,viuzfr,,34,56
9155,kitsounduk,,0,33
9176,worldlineuki,,6,21
9188,memo_kana,,0,17
9208,lego_group,,0,35
9235,aws,,0,45
9236,awsstartups,,3,40
9280,morrisons,,0,27
9299,potus,,0,87
9301,hhsgov,,0,22
9398,rtehrani,,77,336
9399,itexpo,,8,18
9407,sajidmirza,,3,19
9415,thespoontech,,5,41
9430,brianjjackson,,13,23
9458,ibmwatson,,0,111
9474,bjandmigs,,12,22
9481,tipacorp,,5,21
9482,alessiodantino,,3,22
9521,techkle,,7,41
9565,torachitech2,,0,143
9591,gronkh,,0,17
9595,guardian,,0,19
9623,digitaltrends,,31,283
9626,logitech,,0,344
9659,justinaeats,,6,19
9707,femiabodunde,,73,25
9771,phonandroid,,1,96
9889,mims,,0,16
10001,martechexec,,5,29
10048,lethalmilf,,1,30
10049,sapcp,,12,17
10052,h34th3r329,,5,19
10066,musicallyapp,,0,22
10082,ntechyel,,364,202
10121,anchor,,0,19
10146,hondamarlboro,,3,45
10161,galactoise,,20,32
10193,arnaultchatel,,14,38
10194,catherinelardy,,7,24
10212,btmu_official,,0,16
10319,meretebuljo,,6,22
10371,aircanada,,1,36
10422,weathernetwork,,2,17
10432,amerbanker,,0,64
10448,netgem,,0,22
10474,schmmuck,,2,63
10492,namantarcha,,11,4162
10523,pixchix,,1,25
10555,htcsoku,,1,17
10604,tribalscale,,33,23
10627,bmo,,0,16
10690,cascadia,,8,18
10726,taromatsumura,,1,64
10751,jibo,,2,53
10798,noblebyte,,0,28
10810,sweeps4peeps,,0,134
10854,espn,,0,22
10938,enjoydigitall,,22,42
10953,spiegelonline,,0,28
10969,jorge_morell,,1,45
10993,bourseettrading,,76,95
11003,arnonel,,0,33
11018,nipubdit,,64,37
11095,gianluigitweet,,6,18
11109,slideshare,,0,37
11142,manulife,,1,29
11146,okeee0315,,13,40
11163,thurrott,,1,18
11201,alexaconf,,8,19
11242,itunes,,0,16
11317,20minutes,,2,27
11337,rycrist,,2,19
11352,msftresearch,,3,90
11353,steveaustinbsr,,0,21
11355,ggg_by_lia,,1,17
11362,pschiller,,0,21
11374,audible_com,,0,21
11401,adage,,1,80
11436,tonycompton,,9,39
11489,garuzow_carp,,0,20
11523,dzone,,5,64
11567,apfelpage_de,,2,23
11583,alexadevsjp,,13,760
11605,chai_dub,,9,19
11606,lemarquisofandy,,9,18
11623,arikouts,,10,26
11651,fsorel,,7,60
11655,01nettv,,4,21
11689,imore,,7,123
11702,layer8ltd,,0,18
11708,computerworld,,13,113
11711,ikwattro,,16,22
11739,prisonplanet,,1,35
11791,mailonline,,0,46
11817,hothardware,,72,104
11819,csharpcorner,,34,438
11870,jane_ayres12,,4,16
11892,tigerelch,,12,22
11947,newscaster,,2,29
11977,parisberelc,,0,26
11980,mayoclinic,,1,31
11981,drsandhyapruthi,,0,26
12039,mrshredders,,0,17
12045,noriposo,,1,23
12067,noiconsalvini,,0,97
12074,allusirish,,0,46
12123,caelumst,,2,21
12143,oxnkeen,,23,20
12178,katharinasnews,,14,52
12184,charles_gaba,,3,65
12217,imasirooo,,19,145
12227,zoknd,,61,53
12237,mscharlottewwe,,0,27
12260,edsheeran,,0,22
12276,startupsco,,0,624
12282,turnon,,3,58
12304,marktucker,,17,68
12310,pcmag,,0,57
12346,pollaprenadora,,140,1489
12366,zdnet,,2,95
12407,designoutloud,,3,17
12440,indiegogo,,0,18
12474,mike_maas,,17,78
12500,9to5mac,,0,28
12532,merryoscar,,35,23
12574,knowmail,,25,24
12639,coveragerinc,,7,22
12670,secondcityradio,,324,858
12671,mandyeap,,474,200
12677,holisticentre1,,308,49
12678,djdurrant,,317,374
12722,theiotwarehouse,,12,62
12750,eagles,,0,120
12761,rudycluzel,,30,22
12765,handelsblatt,,18,26
12782,techgenyz,,43,159
12810,ghosthostchris,,99,170
12811,smolly127,,196,129
12817,richtopia,,1,52
12826,makeuseof,,2,90
12849,idownloadblog,,1,21
12917,macobserver,,5,19
12992,169labs,,13,27
12996,truereply,,13,85
13003,surface,,0,88
13005,lemondefr,,0,19
13035,andybruce1962,,161,145
13156,sleepydeveloper,,67,86
13172,edithbrou,,0,58
13176,tuckercarlson,,0,20
13346,gizmodo,,0,59
13363,marcociappelli,,6,38
13367,appmakr,,1,18
13377,stuffi_fr,,1,36
13400,bbva,,0,20
13412,wired_jp,,0,210
13454,onewindows_es,,0,42
13486,handigitals,,1,29
13530,productivesys,,4,51
13549,starbucks,,0,26
13621,caro_milanesi,,6,28
13760,rwang0,,28,19
13762,skype,,0,26
13770,arduino,,14,106
13794,nypost,,0,16
13795,samkane1968,,12,119
13846,microsoftes,,2,179
13864,cynthiachovska,,0,34
13878,kimkomando,,0,23
13881,brentleary,,53,78
13894,__ghostwhowalks,,3,27
14003,idiptigupta,,1,31
14021,ctricot,,0,29
14023,tagesschau,,0,83
14033,bbcworld,,0,17
14047,dellcaresjapan,,0,28
14212,neo4j,,2,30
14292,uw,,0,17
14299,durolimia,,12,36
14300,javilayunta,,56,35
14310,dtd_es,,11,43
14338,alfchoice,,4,70
14361,drgiesler,,15,22
14404,stevenpears,,1,38
